REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Education_group
2016,2016A000259,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,31811.0,False,True,False,False,False,2
2016,2016A000259,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,43922.0,False,True,False,False,False,3
2016,2016A000259,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,33450.0,False,True,False,False,False,1
2016,2016A000259,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,47627.0,False,True,False,False,False,2
2016,2016A000259,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,50629.0,False,True,False,False,False,3
2016,2016A000259,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,30024.0,False,True,False,False,False,1
2016,2016A000259,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,40270.0,False,True,False,False,False,2
2016,2016A000259,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,59945.0,False,True,False,False,False,3
2017,2016A000259,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,29733.0,False,True,False,False,False,1
2017,2016A000259,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,40225.0,False,True,False,False,False,2
2017,2016A000259,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,56385.0,False,True,False,False,False,3
2017,2016A000259,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,28819.0,False,True,False,False,False,1
2017,2016A000259,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,38954.0,False,True,False,False,False,2
2017,2016A000259,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,46509.0,False,True,False,False,False,3
2017,2016A000259,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,25576.0,False,True,False,False,False,1
2017,2016A000259,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,32608.0,False,True,False,False,False,2
2017,2016A000259,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,44896.0,False,True,False,False,False,3
2017,2016A000259,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,35509.0,False,True,False,False,False,1
2017,2016A000259,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,50582.0,False,True,False,False,False,2
2017,2016A000259,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,51944.0,False,True,False,False,False,3
2017,2016A000259,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,30706.0,False,True,False,False,False,1
2017,2016A000259,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,41159.0,False,True,False,False,False,2
2017,2016A000259,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,61206.0,False,True,False,False,False,3
2018,2016A000259,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,30511.0,False,True,False,False,False,1
2018,2016A000259,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,41355.0,False,True,False,False,False,2
2018,2016A000259,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,57450.0,False,True,False,False,False,3
2018,2016A000259,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,29861.0,False,True,False,False,False,1
2018,2016A000259,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,40298.0,False,True,False,False,False,2
2018,2016A000259,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,48021.0,False,True,False,False,False,3
2018,2016A000259,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,26677.0,False,True,False,False,False,1
2018,2016A000259,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,34081.0,False,True,False,False,False,2
2018,2016A000259,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,46158.0,False,True,False,False,False,3
2018,2016A000259,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,36466.0,False,True,False,False,False,1
2018,2016A000259,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,51974.0,False,True,False,False,False,2
2018,2016A000259,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,54208.0,False,True,False,False,False,3
2018,2016A000259,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,31181.0,False,True,False,False,False,1
2018,2016A000259,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,42117.0,False,True,False,False,False,2
2018,2016A000259,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,62004.0,False,True,False,False,False,3
2013,2016A000212,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,23246.0,False,False,True,False,False,1
2013,2016A000212,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,34714.0,False,False,True,False,False,2
2013,2016A000212,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,54348.0,False,False,True,False,False,3
2013,2016A000212,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,19201.0,False,False,True,False,False,1
2013,2016A000212,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,30808.0,False,False,True,False,False,2
2013,2016A000212,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,39582.0,False,False,True,False,False,3
2013,2016A000212,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,17525.0,False,False,True,False,False,1
2013,2016A000212,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,28428.0,False,False,True,False,False,2
2013,2016A000212,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,38370.0,False,False,True,False,False,3
2013,2016A000212,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,24246.0,False,False,True,False,False,1
2013,2016A000212,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,39061.0,False,False,True,False,False,2
2013,2016A000212,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,45794.0,False,False,True,False,False,3
2013,2016A000212,Government non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,25496.0,False,False,True,False,False,1
2013,2016A000212,Government non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,36118.0,False,False,True,False,False,2
2013,2016A000212,Government non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,59219.0,False,False,True,False,False,3
2014,2016A000212,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,23748.0,False,False,True,False,False,1
2014,2016A000212,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,34779.0,False,False,True,False,False,2
2014,2016A000212,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,54831.0,False,False,True,False,False,3
2014,2016A000212,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,19979.0,False,False,True,False,False,1
2014,2016A000212,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,31527.0,False,False,True,False,False,2
2014,2016A000212,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,40678.0,False,False,True,False,False,3
2014,2016A000212,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual wages and salaries,Dollars,units,18398.0,False,False,True,False,False,1
2014,2016A000212,Non-profit institutions serving households (community organizations),Trade certificate,Average annual wages and salaries,Dollars,units,29115.0,False,False,True,False,False,2
2014,2016A000212,Non-profit institutions serving households (community organizations),University degree and higher,Average annual wages and salaries,Dollars,units,39423.0,False,False,True,False,False,3
2014,2016A000212,Business non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,24943.0,False,False,True,False,False,1
2014,2016A000212,Business non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,40410.0,False,False,True,False,False,2
2014,2016A000212,Business non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,47411.0,False,False,True,False,False,3
