REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Age_group
2015,2016A000248,Business non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,42376.0,True,False,False,False,False,70
2015,2016A000248,Government non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,20659.0,True,False,False,False,False,20
2015,2016A000248,Government non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,45137.0,True,False,False,False,False,30
2015,2016A000248,Government non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,59288.0,True,False,False,False,False,40
2015,2016A000248,Government non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,66121.0,True,False,False,False,False,50
2015,2016A000248,Government non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,64753.0,True,False,False,False,False,60
2015,2016A000248,Government non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,49820.0,True,False,False,False,False,70
2016,2016A000248,Total non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,17848.0,True,False,False,False,False,20
2016,2016A000248,Total non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,43327.0,True,False,False,False,False,30
2016,2016A000248,Total non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,56328.0,True,False,False,False,False,40
2016,2016A000248,Total non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,62921.0,True,False,False,False,False,50
2016,2016A000248,Total non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,61535.0,True,False,False,False,False,60
2016,2016A000248,Total non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,44268.0,True,False,False,False,False,70
2016,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Average annual wages and salaries,Dollars,units,14271.0,True,False,False,False,False,20
2016,2016A000248,Total non-profit institutions excluding governments,25 to 34 years,Average annual wages and salaries,Dollars,units,38717.0,True,False,False,False,False,30
2016,2016A000248,Total non-profit institutions excluding governments,35 to 44 years,Average annual wages and salaries,Dollars,units,49056.0,True,False,False,False,False,40
2016,2016A000248,Total non-profit institutions excluding governments,45 to 54 years,Average annual wages and salaries,Dollars,units,54076.0,True,False,False,False,False,50
2016,2016A000248,Total non-profit institutions excluding governments,55 to 64 years,Average annual wages and salaries,Dollars,units,53232.0,True,False,False,False,False,60
2016,2016A000248,Total non-profit institutions excluding governments,65 years old and over,Average annual wages and salaries,Dollars,units,33390.0,True,False,False,False,False,70
2016,2016A000248,Non-profit institutions serving households (community organizations),15 to 24 years,Average annual wages and salaries,Dollars,units,13800.0,True,False,False,False,False,20
2016,2016A000248,Non-profit institutions serving households (community organizations),25 to 34 years,Average annual wages and salaries,Dollars,units,36058.0,True,False,False,False,False,30
2016,2016A000248,Non-profit institutions serving households (community organizations),35 to 44 years,Average annual wages and salaries,Dollars,units,44703.0,True,False,False,False,False,40
2016,2016A000248,Non-profit institutions serving households (community organizations),45 to 54 years,Average annual wages and salaries,Dollars,units,49396.0,True,False,False,False,False,50
2016,2016A000248,Non-profit institutions serving households (community organizations),55 to 64 years,Average annual wages and salaries,Dollars,units,49178.0,True,False,False,False,False,60
2016,2016A000248,Non-profit institutions serving households (community organizations),65 years old and over,Average annual wages and salaries,Dollars,units,31874.0,True,False,False,False,False,70
2016,2016A000248,Business non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,15297.0,True,False,False,False,False,20
2016,2016A000248,Business non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,45897.0,True,False,False,False,False,30
2016,2016A000248,Business non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,62229.0,True,False,False,False,False,40
2016,2016A000248,Business non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,68081.0,True,False,False,False,False,50
2016,2016A000248,Business non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,65876.0,True,False,False,False,False,60
2016,2016A000248,Business non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,38622.0,True,False,False,False,False,70
2016,2016A000248,Government non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,20498.0,True,False,False,False,False,20
2016,2016A000248,Government non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,45096.0,True,False,False,False,False,30
2016,2016A000248,Government non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,59166.0,True,False,False,False,False,40
2016,2016A000248,Government non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,66237.0,True,False,False,False,False,50
2016,2016A000248,Government non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,64834.0,True,False,False,False,False,60
2016,2016A000248,Government non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,49692.0,True,False,False,False,False,70
2017,2016A000248,Total non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,18086.0,True,False,False,False,False,20
2017,2016A000248,Total non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,44065.0,True,False,False,False,False,30
2017,2016A000248,Total non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,57039.0,True,False,False,False,False,40
2017,2016A000248,Total non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,64171.0,True,False,False,False,False,50
2017,2016A000248,Total non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,62410.0,True,False,False,False,False,60
2017,2016A000248,Total non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,44025.0,True,False,False,False,False,70
2017,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Average annual wages and salaries,Dollars,units,14399.0,True,False,False,False,False,20
2017,2016A000248,Total non-profit institutions excluding governments,25 to 34 years,Average annual wages and salaries,Dollars,units,38886.0,True,False,False,False,False,30
2017,2016A000248,Total non-profit institutions excluding governments,35 to 44 years,Average annual wages and salaries,Dollars,units,49367.0,True,False,False,False,False,40
2017,2016A000248,Total non-profit institutions excluding governments,45 to 54 years,Average annual wages and salaries,Dollars,units,54570.0,True,False,False,False,False,50
2017,2016A000248,Total non-profit institutions excluding governments,55 to 64 years,Average annual wages and salaries,Dollars,units,53416.0,True,False,False,False,False,60
2017,2016A000248,Total non-profit institutions excluding governments,65 years old and over,Average annual wages and salaries,Dollars,units,33425.0,True,False,False,False,False,70
2017,2016A000248,Non-profit institutions serving households (community organizations),15 to 24 years,Average annual wages and salaries,Dollars,units,13887.0,True,False,False,False,False,20
2017,2016A000248,Non-profit institutions serving households (community organizations),25 to 34 years,Average annual wages and salaries,Dollars,units,36540.0,True,False,False,False,False,30
2017,2016A000248,Non-profit institutions serving households (community organizations),35 to 44 years,Average annual wages and salaries,Dollars,units,45458.0,True,False,False,False,False,40
2017,2016A000248,Non-profit institutions serving households (community organizations),45 to 54 years,Average annual wages and salaries,Dollars,units,50255.0,True,False,False,False,False,50
2017,2016A000248,Non-profit institutions serving households (community organizations),55 to 64 years,Average annual wages and salaries,Dollars,units,49562.0,True,False,False,False,False,60
2017,2016A000248,Non-profit institutions serving households (community organizations),65 years old and over,Average annual wages and salaries,Dollars,units,31804.0,True,False,False,False,False,70
2017,2016A000248,Business non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,15688.0,True,False,False,False,False,20
2017,2016A000248,Business non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,45665.0,True,False,False,False,False,30
2017,2016A000248,Business non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,61642.0,True,False,False,False,False,40
2017,2016A000248,Business non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,68208.0,True,False,False,False,False,50
2017,2016A000248,Business non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,65892.0,True,False,False,False,False,60
2017,2016A000248,Business non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,39205.0,True,False,False,False,False,70
2017,2016A000248,Government non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,20753.0,True,False,False,False,False,20
2017,2016A000248,Government non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,46068.0,True,False,False,False,False,30
2017,2016A000248,Government non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,60028.0,True,False,False,False,False,40
2017,2016A000248,Government non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,67813.0,True,False,False,False,False,50
2017,2016A000248,Government non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,66001.0,True,False,False,False,False,60
2017,2016A000248,Government non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,49242.0,True,False,False,False,False,70
2018,2016A000248,Total non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,18479.0,True,False,False,False,False,20
2018,2016A000248,Total non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,44337.0,True,False,False,False,False,30
2018,2016A000248,Total non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,57208.0,True,False,False,False,False,40
2018,2016A000248,Total non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,64481.0,True,False,False,False,False,50
2018,2016A000248,Total non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,62504.0,True,False,False,False,False,60
2018,2016A000248,Total non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,44473.0,True,False,False,False,False,70
