REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Immigrant_status
2016,2016A000212,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,34960.0,False,False,True,False,False,0
2016,2016A000212,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,37743.0,False,False,True,False,False,1
2016,2016A000212,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,53469.0,False,False,True,False,False,0
2016,2016A000212,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,46905.0,False,False,True,False,False,1
2017,2016A000212,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,48129.0,False,False,True,False,False,0
2017,2016A000212,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,43018.0,False,False,True,False,False,1
2017,2016A000212,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,32016.0,False,False,True,False,False,0
2017,2016A000212,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,33533.0,False,False,True,False,False,1
2017,2016A000212,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,30803.0,False,False,True,False,False,0
2017,2016A000212,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,31896.0,False,False,True,False,False,1
2017,2016A000212,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,36937.0,False,False,True,False,False,0
2017,2016A000212,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,40061.0,False,False,True,False,False,1
2017,2016A000212,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,52216.0,False,False,True,False,False,0
2017,2016A000212,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,46628.0,False,False,True,False,False,1
2018,2016A000212,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,49748.0,False,False,True,False,False,0
2018,2016A000212,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,45344.0,False,False,True,False,False,1
2018,2016A000212,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,32975.0,False,False,True,False,False,0
2018,2016A000212,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,34260.0,False,False,True,False,False,1
2018,2016A000212,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,31713.0,False,False,True,False,False,0
2018,2016A000212,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,32593.0,False,False,True,False,False,1
2018,2016A000212,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,38309.0,False,False,True,False,False,0
2018,2016A000212,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,40941.0,False,False,True,False,False,1
2018,2016A000212,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,54054.0,False,False,True,False,False,0
2018,2016A000212,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,49539.0,False,False,True,False,False,1
2013,2016A000235,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,47780.0,False,False,False,True,False,0
2013,2016A000235,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,46731.0,False,False,False,True,False,1
2013,2016A000235,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,38152.0,False,False,False,True,False,0
2013,2016A000235,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,39266.0,False,False,False,True,False,1
2013,2016A000235,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,35933.0,False,False,False,True,False,0
2013,2016A000235,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,37489.0,False,False,False,True,False,1
2013,2016A000235,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,44723.0,False,False,False,True,False,0
2013,2016A000235,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,44576.0,False,False,False,True,False,1
2013,2016A000235,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,53272.0,False,False,False,True,False,0
2013,2016A000235,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,51571.0,False,False,False,True,False,1
2014,2016A000235,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,49002.0,False,False,False,True,False,0
2014,2016A000235,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,47873.0,False,False,False,True,False,1
2014,2016A000235,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,39078.0,False,False,False,True,False,0
2014,2016A000235,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,40176.0,False,False,False,True,False,1
2014,2016A000235,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,36625.0,False,False,False,True,False,0
2014,2016A000235,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,38165.0,False,False,False,True,False,1
2014,2016A000235,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,46414.0,False,False,False,True,False,0
2014,2016A000235,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,46167.0,False,False,False,True,False,1
2014,2016A000235,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,54655.0,False,False,False,True,False,0
2014,2016A000235,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,52917.0,False,False,False,True,False,1
2015,2016A000235,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,50341.0,False,False,False,True,False,0
2015,2016A000235,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,49238.0,False,False,False,True,False,1
2015,2016A000235,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,40131.0,False,False,False,True,False,0
2015,2016A000235,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,41251.0,False,False,False,True,False,1
2015,2016A000235,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,37297.0,False,False,False,True,False,0
2015,2016A000235,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,38809.0,False,False,False,True,False,1
2015,2016A000235,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,48292.0,False,False,False,True,False,0
