REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Gender_group
2018,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,35057.0,False,True,False,False,False,0
2018,2016A000259,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,54834.0,False,True,False,False,False,1
2018,2016A000259,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,39715.0,False,True,False,False,False,0
2018,2016A000259,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,61214.0,False,True,False,False,False,1
2018,2016A000259,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,49470.0,False,True,False,False,False,0
2013,2016A000212,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,45935.0,False,False,True,False,False,1
2013,2016A000212,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,41020.0,False,False,True,False,False,0
2013,2016A000212,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,34828.0,False,False,True,False,False,1
2013,2016A000212,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,28949.0,False,False,True,False,False,0
2013,2016A000212,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,32999.0,False,False,True,False,False,1
2013,2016A000212,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,28416.0,False,False,True,False,False,0
2013,2016A000212,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,39951.0,False,False,True,False,False,1
2013,2016A000212,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,31842.0,False,False,True,False,False,0
2013,2016A000212,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,51271.0,False,False,True,False,False,1
2013,2016A000212,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,45068.0,False,False,True,False,False,0
2014,2016A000212,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,46316.0,False,False,True,False,False,1
2014,2016A000212,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,41473.0,False,False,True,False,False,0
2014,2016A000212,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,35851.0,False,False,True,False,False,1
2014,2016A000212,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,30085.0,False,False,True,False,False,0
2014,2016A000212,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,33872.0,False,False,True,False,False,1
2014,2016A000212,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,29628.0,False,False,True,False,False,0
2014,2016A000212,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,41766.0,False,False,True,False,False,1
2014,2016A000212,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,32700.0,False,False,True,False,False,0
2014,2016A000212,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,51146.0,False,False,True,False,False,1
2014,2016A000212,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,45226.0,False,False,True,False,False,0
2015,2016A000212,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,46832.0,False,False,True,False,False,1
2015,2016A000212,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,41890.0,False,False,True,False,False,0
2015,2016A000212,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,37130.0,False,False,True,False,False,1
2015,2016A000212,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,30653.0,False,False,True,False,False,0
